workbook,view,tema,ladefe_url,pages_count,reused,tableau_url,ladefe_pages
4_1Coberturadesalud,DHBEvolucinTemporal,salud,https://ladefe.gob.ar/monitoreo/salud/cobertura-de-salud/,1,No,https://public.tableau.com/views/4_1Coberturadesalud/DHBEvolucinTemporal,https://ladefe.gob.ar/monitoreo/salud/cobertura-de-salud/
4_2aNatalidad,DHBEvolucinTemporal,salud,https://ladefe.gob.ar/monitoreo/salud/natalidad-y-salud-en-el-primer-ano/natalidad/,1,No,https://public.tableau.com/views/4_2aNatalidad/DHBEvolucinTemporal,https://ladefe.gob.ar/monitoreo/salud/natalidad-y-salud-en-el-primer-ano/natalidad/
4_2bNatalidadNacidosvivos,DHBEvolucinTemporal,salud,https://ladefe.gob.ar/monitoreo/salud/natalidad-y-salud-en-el-primer-ano/caracteristicas-de-los-nacidos-vivos/,1,No,https://public.tableau.com/views/4_2bNatalidadNacidosvivos/DHBEvolucinTemporal,https://ladefe.gob.ar/monitoreo/salud/natalidad-y-salud-en-el-primer-ano/caracteristicas-de-los-nacidos-vivos/
4_2cNatalidadMadreyparto,DHBEvolucinTemporal,salud,https://ladefe.gob.ar/monitoreo/salud/natalidad-y-salud-en-el-primer-ano/caracteristicas-de-las-madres-y-el-parto/,1,No,https://public.tableau.com/views/4_2cNatalidadMadreyparto/DHBEvolucinTemporal,https://ladefe.gob.ar/monitoreo/salud/natalidad-y-salud-en-el-primer-ano/caracteristicas-de-las-madres-y-el-parto/
4_2dNatalidadLactancia,DHBEvolucinTemporal,salud,https://ladefe.gob.ar/monitoreo/salud/natalidad-y-salud-en-el-primer-ano/lactancia-materna/,1,No,https://public.tableau.com/views/4_2dNatalidadLactancia/DHBEvolucinTemporal,https://ladefe.gob.ar/monitoreo/salud/natalidad-y-salud-en-el-primer-ano/lactancia-materna/
4_3aMortalidadinfantilTasas,DHBEvolucinTemporal,salud,https://ladefe.gob.ar/monitoreo/salud/mortalidad/mortalidad-infantil-y-materna/tasa-de-mortalidad-infantil/,1,No,https://public.tableau.com/views/4_3aMortalidadinfantilTasas/DHBEvolucinTemporal,https://ladefe.gob.ar/monitoreo/salud/mortalidad/mortalidad-infantil-y-materna/tasa-de-mortalidad-infantil/
4_3bMortalidadinfantilCaractersticas,DHBEvolucinTemporal,salud,https://ladefe.gob.ar/monitoreo/salud/mortalidad/mortalidad-infantil-y-materna/caracteristicas-de-las-defunciones-infantiles/,1,No,https://public.tableau.com/views/4_3bMortalidadinfantilCaractersticas/DHBEvolucinTemporal,https://ladefe.gob.ar/monitoreo/salud/mortalidad/mortalidad-infantil-y-materna/caracteristicas-de-las-defunciones-infantiles/
4_3cMortalidadMaterna,DHBEvolucinTemporal,salud,https://ladefe.gob.ar/monitoreo/salud/mortalidad/mortalidad-infantil-y-materna/mortalidad-materna/,1,No,https://public.tableau.com/views/4_3cMortalidadMaterna/DHBEvolucinTemporal,https://ladefe.gob.ar/monitoreo/salud/mortalidad/mortalidad-infantil-y-materna/mortalidad-materna/
4_4aMortalidadNNyATasa,DHBEvolucinTemporal,salud,https://ladefe.gob.ar/monitoreo/salud/mortalidad/mortalidad-de-nnya-de-1-a-19-anos/tasa-de-mortalidad-de-nnya/,1,No,https://public.tableau.com/views/4_4aMortalidadNNyATasa/DHBEvolucinTemporal,https://ladefe.gob.ar/monitoreo/salud/mortalidad/mortalidad-de-nnya-de-1-a-19-anos/tasa-de-mortalidad-de-nnya/
4_4bMortalidadNNyACausas,DHBEvolucinTemporal,salud,https://ladefe.gob.ar/monitoreo/salud/mortalidad/mortalidad-de-nnya-de-1-a-19-anos/causas-de-muerte-de-nnya/principales-causas-de-muerte-de-nnya/,1,No,https://public.tableau.com/views/4_4bMortalidadNNyACausas/DHBEvolucinTemporal,https://ladefe.gob.ar/monitoreo/salud/mortalidad/mortalidad-de-nnya-de-1-a-19-anos/causas-de-muerte-de-nnya/principales-causas-de-muerte-de-nnya/
4_6Nutricin,DHBEvolucinTemporal,salud,https://ladefe.gob.ar/monitoreo/salud/nutricion/,1,No,https://public.tableau.com/views/4_6Nutricin/DHBEvolucinTemporal,https://ladefe.gob.ar/monitoreo/salud/nutricion/
