workbook,view,tema,ladefe_url,status,download_url,final_url,http_status,content_type,content_disposition,bytes,package_type,twb_count,hyper_count
2_3Seguridadalimentaria,DHBEvolucinTemporal,condiciones-de-vida-digna-en-la-ninez-y-adolescencia,https://ladefe.gob.ar/monitoreo/condiciones-de-vida-digna-en-la-ninez-y-adolescencia/politicas-de-transferencias-monetarias/seguridad-alimentaria/,ok,https://public.tableau.com/workbooks/2_3Seguridadalimentaria.twb,https://public.tableau.com/workbooks/2_3Seguridadalimentaria.twb,200,application/x-twb,"attachment; filename=""workbook""",4568400,twbx_zip,1,1
2_5aViviviendaCFCHabitacionales,DHBEvolucinTemporal,condiciones-de-vida-digna-en-la-ninez-y-adolescencia,https://ladefe.gob.ar/monitoreo/condiciones-de-vida-digna-en-la-ninez-y-adolescencia/vivienda-y-habitat/informacion-habitacional-censal/condiciones-habitacionales-censo/,ok,https://public.tableau.com/workbooks/2_5aViviviendaCFCHabitacionales.twb,https://public.tableau.com/workbooks/2_5aViviviendaCFCHabitacionales.twb,200,application/x-twb,"attachment; filename=""workbook""",4806974,twbx_zip,1,1
2_5bViviviendaCFServicios,DHBEvolucinTemporal,condiciones-de-vida-digna-en-la-ninez-y-adolescencia,https://ladefe.gob.ar/monitoreo/condiciones-de-vida-digna-en-la-ninez-y-adolescencia/vivienda-y-habitat/informacion-habitacional-censal/acceso-a-servicios-publicos-censo/,ok,https://public.tableau.com/workbooks/2_5bViviviendaCFServicios.twb,https://public.tableau.com/workbooks/2_5bViviviendaCFServicios.twb,200,application/x-twb,"attachment; filename=""workbook""",4565361,twbx_zip,1,1
2_5cViviviendaEPHChabitacionales,DHBEvolucinTemporal,condiciones-de-vida-digna-en-la-ninez-y-adolescencia,https://ladefe.gob.ar/monitoreo/condiciones-de-vida-digna-en-la-ninez-y-adolescencia/vivienda-y-habitat/informacion-habitacional-urbana-eph/condiciones-habitacionales-eph/,ok,https://public.tableau.com/workbooks/2_5cViviviendaEPHChabitacionales.twb,https://public.tableau.com/workbooks/2_5cViviviendaEPHChabitacionales.twb,200,application/x-twb,"attachment; filename=""workbook""",4565373,twbx_zip,1,1
2_5dViviviendaEPHServicios,DHBEvolucinTemporal,condiciones-de-vida-digna-en-la-ninez-y-adolescencia,https://ladefe.gob.ar/monitoreo/condiciones-de-vida-digna-en-la-ninez-y-adolescencia/vivienda-y-habitat/informacion-habitacional-urbana-eph/acceso-a-servicios-publicos-eph/,ok,https://public.tableau.com/workbooks/2_5dViviviendaEPHServicios.twb,https://public.tableau.com/workbooks/2_5dViviviendaEPHServicios.twb,200,application/x-twb,"attachment; filename=""workbook""",4565265,twbx_zip,1,1
2_6aTrabajoadolescenteCenso,DHBEvolucinTemporal,adolescencia,https://ladefe.gob.ar/monitoreo/adolescencia/trabajo-adolescente-informacion-censal/,ok,https://public.tableau.com/workbooks/2_6aTrabajoadolescenteCenso.twb,https://public.tableau.com/workbooks/2_6aTrabajoadolescenteCenso.twb,200,application/x-twb,"attachment; filename=""workbook""",4556209,twbx_zip,1,1
2_6bTrabajoinfantilyadolescenteEANNA,DHBEvolucinTemporal,condiciones-de-vida-digna-en-la-ninez-y-adolescencia,https://ladefe.gob.ar/monitoreo/condiciones-de-vida-digna-en-la-ninez-y-adolescencia/trabajo-infantil-y-adolescente/trabajo-infantil-y-adolescente-informacion-de-la-eanna/,ok,https://public.tableau.com/workbooks/2_6bTrabajoinfantilyadolescenteEANNA.twb,https://public.tableau.com/workbooks/2_6bTrabajoinfantilyadolescenteEANNA.twb,200,application/x-twb,"attachment; filename=""workbook""",4556287,twbx_zip,1,1
3_1aAsistenciaICensal,DHBEvolucinTemporal,educacion-y-cuidado,https://ladefe.gob.ar/monitoreo/educacion-y-cuidado/asistencia-a-establecimientos-educativos/asistencia-informacion-censal/,ok,https://public.tableau.com/workbooks/3_1aAsistenciaICensal.twb,https://public.tableau.com/workbooks/3_1aAsistenciaICensal.twb,200,application/x-twb,"attachment; filename=""workbook""",4556421,twbx_zip,1,1
3_1bAsistenciaEPH,DHBEvolucinTemporal,educacion-y-cuidado,https://ladefe.gob.ar/monitoreo/educacion-y-cuidado/asistencia-a-establecimientos-educativos/asistencia-urbana-eph/,ok,https://public.tableau.com/workbooks/3_1bAsistenciaEPH.twb,https://public.tableau.com/workbooks/3_1bAsistenciaEPH.twb,200,application/x-twb,"attachment; filename=""workbook""",4556684,twbx_zip,1,1
3_2aEstablecimientosCaracteristicas,DHBEvolucinTemporal,educacion-y-cuidado,https://ladefe.gob.ar/monitoreo/educacion-y-cuidado/educacion-comun-para-nnya/establecimientos-de-la-educacion-comun/caracteristicas-generales-por-nivel/,ok,https://public.tableau.com/workbooks/3_2aEstablecimientosCaracteristicas.twb,https://public.tableau.com/workbooks/3_2aEstablecimientosCaracteristicas.twb,200,application/x-twb,"attachment; filename=""workbook""",4568271,twbx_zip,1,1
3_2bEstablecimientosOfertayciclosNI,DHBEvolucinTemporal,educacion-y-cuidado,https://ladefe.gob.ar/monitoreo/educacion-y-cuidado/educacion-comun-para-nnya/establecimientos-de-la-educacion-comun/oferta-de-nivel-inicial-ciclos-y-salas/,ok,https://public.tableau.com/workbooks/3_2bEstablecimientosOfertayciclosNI.twb,https://public.tableau.com/workbooks/3_2bEstablecimientosOfertayciclosNI.twb,200,application/x-twb,"attachment; filename=""workbook""",4568522,twbx_zip,1,1
3_2cEstablecimientoselectricidad,DHBEvolucinTemporal,educacion-y-cuidado,https://ladefe.gob.ar/monitoreo/educacion-y-cuidado/educacion-comun-para-nnya/establecimientos-de-la-educacion-comun/equipamiento-y-servicios-disponibles/disponibilidad-de-electricidad/,ok,https://public.tableau.com/workbooks/3_2cEstablecimientoselectricidad.twb,https://public.tableau.com/workbooks/3_2cEstablecimientoselectricidad.twb,200,application/x-twb,"attachment; filename=""workbook""",4562511,twbx_zip,1,1
3_2dEstablecimientosAccesoainternet,DHBEvolucinTemporal,educacion-y-cuidado,https://ladefe.gob.ar/monitoreo/educacion-y-cuidado/acceso-a-tics/acceso-a-internet/,ok,https://public.tableau.com/workbooks/3_2dEstablecimientosAccesoainternet.twb,https://public.tableau.com/workbooks/3_2dEstablecimientosAccesoainternet.twb,200,application/x-twb,"attachment; filename=""workbook""",4561933,twbx_zip,1,1
3_2eEstablecimientosEntregadealimentos,DHBEvolucinTemporal,educacion-y-cuidado,https://ladefe.gob.ar/monitoreo/educacion-y-cuidado/educacion-comun-para-nnya/establecimientos-de-la-educacion-comun/equipamiento-y-servicios-disponibles/servicios-alimentarios-gratuitos/,ok,https://public.tableau.com/workbooks/3_2eEstablecimientosEntregadealimentos.twb,https://public.tableau.com/workbooks/3_2eEstablecimientosEntregadealimentos.twb,200,application/x-twb,"attachment; filename=""workbook""",4556908,twbx_zip,1,1
3_2eEstablecimientosLaboratorioinformtica,DHBEvolucinTemporal,educacion-y-cuidado,https://ladefe.gob.ar/monitoreo/educacion-y-cuidado/educacion-comun-para-nnya/establecimientos-de-la-educacion-comun/equipamiento-y-servicios-disponibles/disponibilidad-de-laboratorio-de-informatica/,ok,https://public.tableau.com/workbooks/3_2eEstablecimientosLaboratorioinformtica.twb,https://public.tableau.com/workbooks/3_2eEstablecimientosLaboratorioinformtica.twb,200,application/x-twb,"attachment; filename=""workbook""",4568464,twbx_zip,1,1
3_3aMatrculaECCaractersticas,DHBEvolucinTemporal,educacion-y-cuidado,https://ladefe.gob.ar/monitoreo/educacion-y-cuidado/educacion-comun-para-nnya/informacion-sobre-la-matricula-de-la-educacion-comun/caracteristicas-de-la-matricula-de-la-educacion-comun/caracteristicas-generales-de-la-matricula/,ok,https://public.tableau.com/workbooks/3_3aMatrculaECCaractersticas.twb,https://public.tableau.com/workbooks/3_3aMatrculaECCaractersticas.twb,200,application/x-twb,"attachment; filename=""workbook""",4568599,twbx_zip,1,1
3_3bMatrculaECNivelInicial,DHBEvolucinTemporal,educacion-y-cuidado,https://ladefe.gob.ar/monitoreo/educacion-y-cuidado/educacion-comun-para-nnya/informacion-sobre-la-matricula-de-la-educacion-comun/caracteristicas-de-la-matricula-de-la-educacion-comun/matricula-de-nivel-inicial/,ok,https://public.tableau.com/workbooks/3_3bMatrculaECNivelInicial.twb,https://public.tableau.com/workbooks/3_3bMatrculaECNivelInicial.twb,200,application/x-twb,"attachment; filename=""workbook""",4568015,twbx_zip,1,1
3_3cMatrculaECNivelPrimario,DHBEvolucinTemporal,educacion-y-cuidado,https://ladefe.gob.ar/monitoreo/educacion-y-cuidado/educacion-comun-para-nnya/informacion-sobre-la-matricula-de-la-educacion-comun/caracteristicas-de-la-matricula-de-la-educacion-comun/matricula-de-nivel-primario/,ok,https://public.tableau.com/workbooks/3_3cMatrculaECNivelPrimario.twb,https://public.tableau.com/workbooks/3_3cMatrculaECNivelPrimario.twb,200,application/x-twb,"attachment; filename=""workbook""",4568139,twbx_zip,1,1
3_3dMatrculaECNivelSecundario,DHBEvolucinTemporal,educacion-y-cuidado,https://ladefe.gob.ar/monitoreo/educacion-y-cuidado/educacion-comun-para-nnya/informacion-sobre-la-matricula-de-la-educacion-comun/caracteristicas-de-la-matricula-de-la-educacion-comun/matricula-de-nivel-secundario/,ok,https://public.tableau.com/workbooks/3_3dMatrculaECNivelSecundario.twb,https://public.tableau.com/workbooks/3_3dMatrculaECNivelSecundario.twb,200,application/x-twb,"attachment; filename=""workbook""",4561860,twbx_zip,1,1
3_3eMatrculaIETasadeescolarizacin,DHBEvolucinTemporal,educacion-y-cuidado,https://ladefe.gob.ar/monitoreo/educacion-y-cuidado/educacion-comun-para-nnya/informacion-sobre-la-matricula-de-la-educacion-comun/indicadores-de-acceso-desempeno-calidad-y-egreso/tasas-de-escolarizacion/,ok,https://public.tableau.com/workbooks/3_3eMatrculaIETasadeescolarizacin.twb,https://public.tableau.com/workbooks/3_3eMatrculaIETasadeescolarizacin.twb,200,application/x-twb,"attachment; filename=""workbook""",4562712,twbx_zip,1,1
3_3fMatrculaIEPromocinyabandono,DHBEvolucinTemporal,educacion-y-cuidado,https://ladefe.gob.ar/monitoreo/educacion-y-cuidado/educacion-comun-para-nnya/informacion-sobre-la-matricula-de-la-educacion-comun/indicadores-de-acceso-desempeno-calidad-y-egreso/promocion-efectiva-y-abandono-interanual/,ok,https://public.tableau.com/workbooks/3_3fMatrculaIEPromocinyabandono.twb,https://public.tableau.com/workbooks/3_3fMatrculaIEPromocinyabandono.twb,200,application/x-twb,"attachment; filename=""workbook""",4568537,twbx_zip,1,1
3_3gMatrculaIERepitenciaysobreedad,DHBEvolucinTemporal,educacion-y-cuidado,https://ladefe.gob.ar/monitoreo/educacion-y-cuidado/educacion-comun-para-nnya/informacion-sobre-la-matricula-de-la-educacion-comun/indicadores-de-acceso-desempeno-calidad-y-egreso/repitencia-y-sobreedad/,ok,https://public.tableau.com/workbooks/3_3gMatrculaIERepitenciaysobreedad.twb,https://public.tableau.com/workbooks/3_3gMatrculaIERepitenciaysobreedad.twb,200,application/x-twb,"attachment; filename=""workbook""",4568542,twbx_zip,1,1
3_3hMatrculaIETasadeegreso,DHBEvolucinTemporal,educacion-y-cuidado,https://ladefe.gob.ar/monitoreo/educacion-y-cuidado/educacion-comun-para-nnya/informacion-sobre-la-matricula-de-la-educacion-comun/indicadores-de-acceso-desempeno-calidad-y-egreso/tasa-de-egreso/,ok,https://public.tableau.com/workbooks/3_3hMatrculaIETasadeegreso.twb,https://public.tableau.com/workbooks/3_3hMatrculaIETasadeegreso.twb,200,application/x-twb,"attachment; filename=""workbook""",4557415,twbx_zip,1,1
3_4aEducacinespecialEstablecimientos,DHBEvolucinTemporal,educacion-y-cuidado,https://ladefe.gob.ar/monitoreo/educacion-y-cuidado/educacion-especial-para-nnya/establecimientos-educativos/,ok,https://public.tableau.com/workbooks/3_4aEducacinespecialEstablecimientos.twb,https://public.tableau.com/workbooks/3_4aEducacinespecialEstablecimientos.twb,200,application/x-twb,"attachment; filename=""workbook""",4571238,twbx_zip,1,1
3_4bEducacinespecialMatrcula,DHBEvolucinTemporal,educacion-y-cuidado,https://ladefe.gob.ar/monitoreo/educacion-y-cuidado/educacion-especial-para-nnya/matricula-educacion-especial/,ok,https://public.tableau.com/workbooks/3_4bEducacinespecialMatrcula.twb,https://public.tableau.com/workbooks/3_4bEducacinespecialMatrcula.twb,200,application/x-twb,"attachment; filename=""workbook""",4571755,twbx_zip,1,1
3_5aTICsICensal,DHBEvolucinTemporal,educacion-y-cuidado,https://ladefe.gob.ar/monitoreo/educacion-y-cuidado/acceso-a-tics/acceso-a-tics-informacion-censal/,ok,https://public.tableau.com/workbooks/3_5aTICsICensal.twb,https://public.tableau.com/workbooks/3_5aTICsICensal.twb,200,application/x-twb,"attachment; filename=""workbook""",4557007,twbx_zip,1,1
3_5bTICsIEPH,DHBEvolucinTemporal,educacion-y-cuidado,https://ladefe.gob.ar/monitoreo/educacion-y-cuidado/acceso-a-tics/tics-informacion-urbana-eph/,ok,https://public.tableau.com/workbooks/3_5bTICsIEPH.twb,https://public.tableau.com/workbooks/3_5bTICsIEPH.twb,200,application/x-twb,"attachment; filename=""workbook""",4557246,twbx_zip,1,1
4_1Coberturadesalud,DHBEvolucinTemporal,salud,https://ladefe.gob.ar/monitoreo/salud/cobertura-de-salud/,ok,https://public.tableau.com/workbooks/4_1Coberturadesalud.twb,https://public.tableau.com/workbooks/4_1Coberturadesalud.twb,200,application/x-twb,"attachment; filename=""workbook""",4557107,twbx_zip,1,1
4_2aNatalidad,DHBEvolucinTemporal,salud,https://ladefe.gob.ar/monitoreo/salud/natalidad-y-salud-en-el-primer-ano/natalidad/,ok,https://public.tableau.com/workbooks/4_2aNatalidad.twb,https://public.tableau.com/workbooks/4_2aNatalidad.twb,200,application/x-twb,"attachment; filename=""workbook""",4557642,twbx_zip,1,1
4_2bNatalidadNacidosvivos,DHBEvolucinTemporal,salud,https://ladefe.gob.ar/monitoreo/salud/natalidad-y-salud-en-el-primer-ano/caracteristicas-de-los-nacidos-vivos/,ok,https://public.tableau.com/workbooks/4_2bNatalidadNacidosvivos.twb,https://public.tableau.com/workbooks/4_2bNatalidadNacidosvivos.twb,200,application/x-twb,"attachment; filename=""workbook""",4557574,twbx_zip,1,1
4_2cNatalidadMadreyparto,DHBEvolucinTemporal,salud,https://ladefe.gob.ar/monitoreo/salud/natalidad-y-salud-en-el-primer-ano/caracteristicas-de-las-madres-y-el-parto/,ok,https://public.tableau.com/workbooks/4_2cNatalidadMadreyparto.twb,https://public.tableau.com/workbooks/4_2cNatalidadMadreyparto.twb,200,application/x-twb,"attachment; filename=""workbook""",4557307,twbx_zip,1,1
4_2dNatalidadLactancia,DHBEvolucinTemporal,salud,https://ladefe.gob.ar/monitoreo/salud/natalidad-y-salud-en-el-primer-ano/lactancia-materna/,ok,https://public.tableau.com/workbooks/4_2dNatalidadLactancia.twb,https://public.tableau.com/workbooks/4_2dNatalidadLactancia.twb,200,application/x-twb,"attachment; filename=""workbook""",4557145,twbx_zip,1,1
4_3aMortalidadinfantilTasas,DHBEvolucinTemporal,salud,https://ladefe.gob.ar/monitoreo/salud/mortalidad/mortalidad-infantil-y-materna/tasa-de-mortalidad-infantil/,ok,https://public.tableau.com/workbooks/4_3aMortalidadinfantilTasas.twb,https://public.tableau.com/workbooks/4_3aMortalidadinfantilTasas.twb,200,application/x-twb,"attachment; filename=""workbook""",4557413,twbx_zip,1,1
4_3bMortalidadinfantilCaractersticas,DHBEvolucinTemporal,salud,https://ladefe.gob.ar/monitoreo/salud/mortalidad/mortalidad-infantil-y-materna/caracteristicas-de-las-defunciones-infantiles/,ok,https://public.tableau.com/workbooks/4_3bMortalidadinfantilCaractersticas.twb,https://public.tableau.com/workbooks/4_3bMortalidadinfantilCaractersticas.twb,200,application/x-twb,"attachment; filename=""workbook""",4557584,twbx_zip,1,1
4_3cMortalidadMaterna,DHBEvolucinTemporal,salud,https://ladefe.gob.ar/monitoreo/salud/mortalidad/mortalidad-infantil-y-materna/mortalidad-materna/,ok,https://public.tableau.com/workbooks/4_3cMortalidadMaterna.twb,https://public.tableau.com/workbooks/4_3cMortalidadMaterna.twb,200,application/x-twb,"attachment; filename=""workbook""",4556631,twbx_zip,1,1
4_4aMortalidadNNyATasa,DHBEvolucinTemporal,salud,https://ladefe.gob.ar/monitoreo/salud/mortalidad/mortalidad-de-nnya-de-1-a-19-anos/tasa-de-mortalidad-de-nnya/,ok,https://public.tableau.com/workbooks/4_4aMortalidadNNyATasa.twb,https://public.tableau.com/workbooks/4_4aMortalidadNNyATasa.twb,200,application/x-twb,"attachment; filename=""workbook""",4556743,twbx_zip,1,1
4_4bMortalidadNNyACausas,DHBEvolucinTemporal,salud,https://ladefe.gob.ar/monitoreo/salud/mortalidad/mortalidad-de-nnya-de-1-a-19-anos/causas-de-muerte-de-nnya/principales-causas-de-muerte-de-nnya/,ok,https://public.tableau.com/workbooks/4_4bMortalidadNNyACausas.twb,https://public.tableau.com/workbooks/4_4bMortalidadNNyACausas.twb,200,application/x-twb,"attachment; filename=""workbook""",4594914,twbx_zip,1,1
4_6Nutricin,DHBEvolucinTemporal,salud,https://ladefe.gob.ar/monitoreo/salud/nutricion/,ok,https://public.tableau.com/workbooks/4_6Nutricin.twb,https://public.tableau.com/workbooks/4_6Nutricin.twb,200,application/x-twb,"attachment; filename=""workbook""",4557427,twbx_zip,1,1
5_1aNNyAconmedidasdeproteccion_NNyA,DHBEvolucinTemporal,organismos-de-proteccion-de-derechos-de-la-ninez-adolescencia-y-justicia-juvenil,https://ladefe.gob.ar/monitoreo/organismos-de-proteccion-de-derechos-de-la-ninez-adolescencia-y-justicia-juvenil/nnya-con-medidas-de-proteccion-excepcionales/nnya-en-dispositivos-de-cuidado-residencial-familiar-con-familia-ampliada/,ok,https://public.tableau.com/workbooks/5_1aNNyAconmedidasdeproteccion_NNyA.twb,https://public.tableau.com/workbooks/5_1aNNyAconmedidasdeproteccion_NNyA.twb,200,application/x-twb,"attachment; filename=""workbook""",4557999,twbx_zip,1,1
5_1bNNyAconmedidasdeproteccion_Dispositivos,DHBEvolucinTemporal,organismos-de-proteccion-de-derechos-de-la-ninez-adolescencia-y-justicia-juvenil,https://ladefe.gob.ar/monitoreo/organismos-de-proteccion-de-derechos-de-la-ninez-adolescencia-y-justicia-juvenil/nnya-con-medidas-de-proteccion-excepcionales/dispositivos-de-cuidado/,ok,https://public.tableau.com/workbooks/5_1bNNyAconmedidasdeproteccion_Dispositivos.twb,https://public.tableau.com/workbooks/5_1bNNyAconmedidasdeproteccion_Dispositivos.twb,200,application/x-twb,"attachment; filename=""workbook""",4557829,twbx_zip,1,1
5_2PAE,DHBEvolucinTemporal,organismos-de-proteccion-de-derechos-de-la-ninez-adolescencia-y-justicia-juvenil,https://ladefe.gob.ar/monitoreo/organismos-de-proteccion-de-derechos-de-la-ninez-adolescencia-y-justicia-juvenil/programa-pae/,ok,https://public.tableau.com/workbooks/5_2PAE.twb,https://public.tableau.com/workbooks/5_2PAE.twb,200,application/x-twb,"attachment; filename=""workbook""",4557553,twbx_zip,1,1
5_3Lnea102,DHBEvolucinTemporal,organismos-de-proteccion-de-derechos-de-la-ninez-adolescencia-y-justicia-juvenil,https://ladefe.gob.ar/monitoreo/organismos-de-proteccion-de-derechos-de-la-ninez-adolescencia-y-justicia-juvenil/linea-102/,ok,https://public.tableau.com/workbooks/5_3Lnea102.twb,https://public.tableau.com/workbooks/5_3Lnea102.twb,200,application/x-twb,"attachment; filename=""workbook""",4557056,twbx_zip,1,1
5_4aJusticiajuvenilAdolescentesyjvenes,DHBEvolucinTemporal,organismos-de-proteccion-de-derechos-de-la-ninez-adolescencia-y-justicia-juvenil,https://ladefe.gob.ar/monitoreo/organismos-de-proteccion-de-derechos-de-la-ninez-adolescencia-y-justicia-juvenil/adolescentes-y-jovenes-en-dispositivos-penales-2/adolescentes-y-jovenes-en-dispositivos-penales/,ok,https://public.tableau.com/workbooks/5_4aJusticiajuvenilAdolescentesyjvenes.twb,https://public.tableau.com/workbooks/5_4aJusticiajuvenilAdolescentesyjvenes.twb,200,application/x-twb,"attachment; filename=""workbook""",4557633,twbx_zip,1,1
5_4bJusticiajuvenilDispositivospenales,DHBEvolucinTemporal,organismos-de-proteccion-de-derechos-de-la-ninez-adolescencia-y-justicia-juvenil,https://ladefe.gob.ar/monitoreo/organismos-de-proteccion-de-derechos-de-la-ninez-adolescencia-y-justicia-juvenil/adolescentes-y-jovenes-en-dispositivos-penales-2/dispositivos-penales/,ok,https://public.tableau.com/workbooks/5_4bJusticiajuvenilDispositivospenales.twb,https://public.tableau.com/workbooks/5_4bJusticiajuvenilDispositivospenales.twb,200,application/x-twb,"attachment; filename=""workbook""",4557572,twbx_zip,1,1
6_1Inversinpblicapresupuestonacional,DHBEvolucinTemporal,inversion-publica-en-ninez-y-adolescencia,https://ladefe.gob.ar/monitoreo/inversion-publica-en-ninez-y-adolescencia/inversion-publica-en-el-presupuesto-nacional/,ok,https://public.tableau.com/workbooks/6_1Inversinpblicapresupuestonacional.twb,https://public.tableau.com/workbooks/6_1Inversinpblicapresupuestonacional.twb,200,application/x-twb,"attachment; filename=""workbook""",4570931,twbx_zip,1,1
6_2aInversinpblicanacionalyprovincialNNyA,DHBEvolucinTemporal,inversion-publica-en-ninez-y-adolescencia,https://ladefe.gob.ar/monitoreo/inversion-publica-en-ninez-y-adolescencia/inversion-publica-consolidada-nacional-y-provincial/inversion-dirigida-a-la-ninez-y-adolescencia/,ok,https://public.tableau.com/workbooks/6_2aInversinpblicanacionalyprovincialNNyA.twb,https://public.tableau.com/workbooks/6_2aInversinpblicanacionalyprovincialNNyA.twb,200,application/x-twb,"attachment; filename=""workbook""",4558038,twbx_zip,1,1
6_2bInversinpblicanacionalyprovincialPrimerainfancia,DHBEvolucinTemporal,inversion-publica-en-ninez-y-adolescencia,https://ladefe.gob.ar/monitoreo/inversion-publica-en-ninez-y-adolescencia/inversion-publica-consolidada-nacional-y-provincial/inversion-dirigida-a-la-primera-infancia/,ok,https://public.tableau.com/workbooks/6_2bInversinpblicanacionalyprovincialPrimerainfancia.twb,https://public.tableau.com/workbooks/6_2bInversinpblicanacionalyprovincialPrimerainfancia.twb,200,application/x-twb,"attachment; filename=""workbook""",4558616,twbx_zip,1,1
7_1SaludsexualyreproductivaFecundidadadolescente,DHBEvolucinTemporal,adolescencia,https://ladefe.gob.ar/monitoreo/adolescencia/salud-sexual-y-reproductiva/fecundidad-y-embarazo/,ok,https://public.tableau.com/workbooks/7_1SaludsexualyreproductivaFecundidadadolescente.twb,https://public.tableau.com/workbooks/7_1SaludsexualyreproductivaFecundidadadolescente.twb,200,application/x-twb,"attachment; filename=""workbook""",4558461,twbx_zip,1,1
