workbook,view,tema,status,package_type,bytes,worksheets,dashboards,fields,calculated_fields,filters,parameters,connections,relations,actions,hyper_tables,hyper_columns,hyper_rows,worksheet_signature,dashboard_signature,parameter_signature,formula_signature,schema_signature,logical_tables,family_signature,family_id
3_2cEstablecimientoselectricidad,DHBEvolucinTemporal,educacion-y-cuidado,ok,twbx_zip,4562511,59,4,292,82,247,21,4,30,79,7,73,13296,83563ac55047c98183decafd0cf1d30aaf92e8e876521ec332aa18dfeecc66d6,3595d46fe59367ad24397a107ef2fa7dd0ecbc2874d582afaba5ab6147eebc24,882c8e93aa4d313fb08bff286bc2859dd45b2e4cc1f47238f67e8db884fa637f,badab59d825b6ff208de6514f78bc61e3b3c5f18a681951a950bacf48e9ea316,9f30e816d03f257a2e91849e1c5a08dbb418d77886d33c24c45ef7cffa8b43ff,Configuracion | Datos | Grupos Indicadores | Indicadores | Tableros | Temas | shp,68761666158158e4ace3f78d723870e9a648ad32fd13b4f9061e64b103803ee0,F01
3_2dEstablecimientosAccesoainternet,DHBEvolucinTemporal,educacion-y-cuidado,ok,twbx_zip,4561933,59,4,292,82,247,21,4,30,79,7,73,13296,83563ac55047c98183decafd0cf1d30aaf92e8e876521ec332aa18dfeecc66d6,3595d46fe59367ad24397a107ef2fa7dd0ecbc2874d582afaba5ab6147eebc24,882c8e93aa4d313fb08bff286bc2859dd45b2e4cc1f47238f67e8db884fa637f,80a067d57736e6796e8960ea068da90d91f0f65624908bda5b3203a66f8e20a3,9f30e816d03f257a2e91849e1c5a08dbb418d77886d33c24c45ef7cffa8b43ff,Configuracion | Datos | Grupos Indicadores | Indicadores | Tableros | Temas | shp,68761666158158e4ace3f78d723870e9a648ad32fd13b4f9061e64b103803ee0,F01
3_2eEstablecimientosEntregadealimentos,DHBEvolucinTemporal,educacion-y-cuidado,ok,twbx_zip,4556908,59,4,292,82,247,21,4,30,79,7,73,12975,83563ac55047c98183decafd0cf1d30aaf92e8e876521ec332aa18dfeecc66d6,3595d46fe59367ad24397a107ef2fa7dd0ecbc2874d582afaba5ab6147eebc24,882c8e93aa4d313fb08bff286bc2859dd45b2e4cc1f47238f67e8db884fa637f,ca6951489a34f6727473c2b31d850e22aab6e1235cd3b03ac4eac302bc192b5c,9f30e816d03f257a2e91849e1c5a08dbb418d77886d33c24c45ef7cffa8b43ff,Configuracion | Datos | Grupos Indicadores | Indicadores | Tableros | Temas | shp,68761666158158e4ace3f78d723870e9a648ad32fd13b4f9061e64b103803ee0,F01
3_2eEstablecimientosLaboratorioinformtica,DHBEvolucinTemporal,educacion-y-cuidado,ok,twbx_zip,4568464,59,4,292,82,247,21,4,30,79,7,73,13697,83563ac55047c98183decafd0cf1d30aaf92e8e876521ec332aa18dfeecc66d6,3595d46fe59367ad24397a107ef2fa7dd0ecbc2874d582afaba5ab6147eebc24,882c8e93aa4d313fb08bff286bc2859dd45b2e4cc1f47238f67e8db884fa637f,9518370a2081b892bdaae4d066a96a58a368268dd86aebe0fe82731a76826c47,9f30e816d03f257a2e91849e1c5a08dbb418d77886d33c24c45ef7cffa8b43ff,Configuracion | Datos | Grupos Indicadores | Indicadores | Tableros | Temas | shp,68761666158158e4ace3f78d723870e9a648ad32fd13b4f9061e64b103803ee0,F01
3_3aMatrculaECCaractersticas,DHBEvolucinTemporal,educacion-y-cuidado,ok,twbx_zip,4568599,59,4,292,82,247,21,4,30,79,7,73,13697,83563ac55047c98183decafd0cf1d30aaf92e8e876521ec332aa18dfeecc66d6,3595d46fe59367ad24397a107ef2fa7dd0ecbc2874d582afaba5ab6147eebc24,882c8e93aa4d313fb08bff286bc2859dd45b2e4cc1f47238f67e8db884fa637f,c11d44cafbd01e0732d1ca1a423970c32ff9c6c4f628293237ad0582a8237a59,9f30e816d03f257a2e91849e1c5a08dbb418d77886d33c24c45ef7cffa8b43ff,Configuracion | Datos | Grupos Indicadores | Indicadores | Tableros | Temas | shp,68761666158158e4ace3f78d723870e9a648ad32fd13b4f9061e64b103803ee0,F01
3_3bMatrculaECNivelInicial,DHBEvolucinTemporal,educacion-y-cuidado,ok,twbx_zip,4568015,59,4,292,82,247,21,4,30,79,7,73,13697,83563ac55047c98183decafd0cf1d30aaf92e8e876521ec332aa18dfeecc66d6,3595d46fe59367ad24397a107ef2fa7dd0ecbc2874d582afaba5ab6147eebc24,882c8e93aa4d313fb08bff286bc2859dd45b2e4cc1f47238f67e8db884fa637f,7245114b7f778418fd972821a1fc133d822a51e7ca4ff8f43291042983787449,9f30e816d03f257a2e91849e1c5a08dbb418d77886d33c24c45ef7cffa8b43ff,Configuracion | Datos | Grupos Indicadores | Indicadores | Tableros | Temas | shp,68761666158158e4ace3f78d723870e9a648ad32fd13b4f9061e64b103803ee0,F01
3_3cMatrculaECNivelPrimario,DHBEvolucinTemporal,educacion-y-cuidado,ok,twbx_zip,4568139,59,4,292,82,247,21,4,30,79,7,73,13697,83563ac55047c98183decafd0cf1d30aaf92e8e876521ec332aa18dfeecc66d6,3595d46fe59367ad24397a107ef2fa7dd0ecbc2874d582afaba5ab6147eebc24,882c8e93aa4d313fb08bff286bc2859dd45b2e4cc1f47238f67e8db884fa637f,7063439ae7546ba55afd5935d28f20ff0e9846b31ecae9cab3348a826c9965c4,9f30e816d03f257a2e91849e1c5a08dbb418d77886d33c24c45ef7cffa8b43ff,Configuracion | Datos | Grupos Indicadores | Indicadores | Tableros | Temas | shp,68761666158158e4ace3f78d723870e9a648ad32fd13b4f9061e64b103803ee0,F01
3_3dMatrculaECNivelSecundario,DHBEvolucinTemporal,educacion-y-cuidado,ok,twbx_zip,4561860,59,4,292,82,247,21,4,30,79,7,73,13296,83563ac55047c98183decafd0cf1d30aaf92e8e876521ec332aa18dfeecc66d6,3595d46fe59367ad24397a107ef2fa7dd0ecbc2874d582afaba5ab6147eebc24,882c8e93aa4d313fb08bff286bc2859dd45b2e4cc1f47238f67e8db884fa637f,31e52e84bbc28340bb54d68d298c9d575059b3accdffa7ccb5b2d7fd2f8580fc,9f30e816d03f257a2e91849e1c5a08dbb418d77886d33c24c45ef7cffa8b43ff,Configuracion | Datos | Grupos Indicadores | Indicadores | Tableros | Temas | shp,68761666158158e4ace3f78d723870e9a648ad32fd13b4f9061e64b103803ee0,F01
3_3eMatrculaIETasadeescolarizacin,DHBEvolucinTemporal,educacion-y-cuidado,ok,twbx_zip,4562712,59,4,292,82,247,21,4,30,79,7,73,13296,83563ac55047c98183decafd0cf1d30aaf92e8e876521ec332aa18dfeecc66d6,3595d46fe59367ad24397a107ef2fa7dd0ecbc2874d582afaba5ab6147eebc24,882c8e93aa4d313fb08bff286bc2859dd45b2e4cc1f47238f67e8db884fa637f,556f7fad6d1cece161393e32719244a601611bc3cb7d4faa7f27f09be1d069bd,9f30e816d03f257a2e91849e1c5a08dbb418d77886d33c24c45ef7cffa8b43ff,Configuracion | Datos | Grupos Indicadores | Indicadores | Tableros | Temas | shp,68761666158158e4ace3f78d723870e9a648ad32fd13b4f9061e64b103803ee0,F01
3_3fMatrculaIEPromocinyabandono,DHBEvolucinTemporal,educacion-y-cuidado,ok,twbx_zip,4568537,59,4,292,82,247,21,4,30,79,7,73,13697,83563ac55047c98183decafd0cf1d30aaf92e8e876521ec332aa18dfeecc66d6,3595d46fe59367ad24397a107ef2fa7dd0ecbc2874d582afaba5ab6147eebc24,882c8e93aa4d313fb08bff286bc2859dd45b2e4cc1f47238f67e8db884fa637f,efd7afd9f33abe46199b9bd05e43b8f293e49b0d2b420043400bc9f7055015ca,9f30e816d03f257a2e91849e1c5a08dbb418d77886d33c24c45ef7cffa8b43ff,Configuracion | Datos | Grupos Indicadores | Indicadores | Tableros | Temas | shp,68761666158158e4ace3f78d723870e9a648ad32fd13b4f9061e64b103803ee0,F01
3_3gMatrculaIERepitenciaysobreedad,DHBEvolucinTemporal,educacion-y-cuidado,ok,twbx_zip,4568542,59,4,292,82,247,21,4,30,79,7,73,13697,83563ac55047c98183decafd0cf1d30aaf92e8e876521ec332aa18dfeecc66d6,3595d46fe59367ad24397a107ef2fa7dd0ecbc2874d582afaba5ab6147eebc24,882c8e93aa4d313fb08bff286bc2859dd45b2e4cc1f47238f67e8db884fa637f,420974f7d5658de70cffa4ff31d89bf0ab5f6bf76390f445512e87122ac79bc9,9f30e816d03f257a2e91849e1c5a08dbb418d77886d33c24c45ef7cffa8b43ff,Configuracion | Datos | Grupos Indicadores | Indicadores | Tableros | Temas | shp,68761666158158e4ace3f78d723870e9a648ad32fd13b4f9061e64b103803ee0,F01
