workbook,requested_view,twb_file,datasource,datasource_internal,field_name,caption,datatype,role,type,aggregation,semantic_role,hidden,param_domain_type,calculation_class,formula
3_3dMatrculaECNivelSecundario,DHBEvolucinTemporal,3.3d Matr├¡cula EC Nivel secundario.twb,DATOS_ADMIN_SM,federated.0qiz8oi1sb3cd813zi06q01yhyh5,[Distribuciones - Visualizar Gráfico Torta (copy)_159666739711741954],Distribuciones - Visualizar Gráfico Barras,integer,dimension,quantitative,,,,,tableau,"IF ([Parameters].[p_grafico_apertura_grupo (copia)_1886797147614048275] = ""Barras"") THEN 1 
ELSEIF ([Parameters].[p_grafico_apertura_grupo (copia)_1886797147614048275] = ""Todos"") THEN 1 
ELSE 0 END"
3_3dMatrculaECNivelSecundario,DHBEvolucinTemporal,3.3d Matr├¡cula EC Nivel secundario.twb,DATOS_ADMIN_SM,federated.0qiz8oi1sb3cd813zi06q01yhyh5,[GRUPO_INDICADOR_ID (Grupos Indicadores)],GRUPO_INDICADOR_ID,integer,dimension,ordinal,,,,,,
3_3dMatrculaECNivelSecundario,DHBEvolucinTemporal,3.3d Matr├¡cula EC Nivel secundario.twb,DATOS_ADMIN_SM,federated.0qiz8oi1sb3cd813zi06q01yhyh5,[GRUPO_INDICADOR_ID],DATO_GRUPO_INDICADOR_ID,integer,dimension,ordinal,,,,,,
3_3dMatrculaECNivelSecundario,DHBEvolucinTemporal,3.3d Matr├¡cula EC Nivel secundario.twb,DATOS_ADMIN_SM,federated.0qiz8oi1sb3cd813zi06q01yhyh5,[GRUPO_INDICADOR_NOMBRE (Grupos Indicadores)],GRUPO_INDICADOR_NOMBRE,string,dimension,nominal,,,,,,
3_3dMatrculaECNivelSecundario,DHBEvolucinTemporal,3.3d Matr├¡cula EC Nivel secundario.twb,DATOS_ADMIN_SM,federated.0qiz8oi1sb3cd813zi06q01yhyh5,[GRUPO_INDICADOR_NOMBRE],DATO_GRUPO_INDICADOR_NOMBRE,string,dimension,nominal,,,true,,,
3_3dMatrculaECNivelSecundario,DHBEvolucinTemporal,3.3d Matr├¡cula EC Nivel secundario.twb,DATOS_ADMIN_SM,federated.0qiz8oi1sb3cd813zi06q01yhyh5,[GRUPO_INDICADOR_ORDEN],,integer,dimension,ordinal,,,,,,
3_3dMatrculaECNivelSecundario,DHBEvolucinTemporal,3.3d Matr├¡cula EC Nivel secundario.twb,DATOS_ADMIN_SM,federated.0qiz8oi1sb3cd813zi06q01yhyh5,[Geometry],GEOMETRIA (T_MAPA),spatial,measure,nominal,,,,,,
3_3dMatrculaECNivelSecundario,DHBEvolucinTemporal,3.3d Matr├¡cula EC Nivel secundario.twb,DATOS_ADMIN_SM,federated.0qiz8oi1sb3cd813zi06q01yhyh5,[ID_DATO_SM],DATO_ID,integer,dimension,ordinal,,,,,,
3_3dMatrculaECNivelSecundario,DHBEvolucinTemporal,3.3d Matr├¡cula EC Nivel secundario.twb,DATOS_ADMIN_SM,federated.0qiz8oi1sb3cd813zi06q01yhyh5,[INDICADOR_DE_SISTEMA],,string,dimension,nominal,,,,,,
3_3dMatrculaECNivelSecundario,DHBEvolucinTemporal,3.3d Matr├¡cula EC Nivel secundario.twb,DATOS_ADMIN_SM,federated.0qiz8oi1sb3cd813zi06q01yhyh5,[INDICADOR_ID (Indicadores)],INDICADOR_ID,integer,dimension,ordinal,,,,,,
3_3dMatrculaECNivelSecundario,DHBEvolucinTemporal,3.3d Matr├¡cula EC Nivel secundario.twb,DATOS_ADMIN_SM,federated.0qiz8oi1sb3cd813zi06q01yhyh5,[INDICADOR_ID],DATO_INDICADOR_ID,integer,dimension,ordinal,,,,,,
3_3dMatrculaECNivelSecundario,DHBEvolucinTemporal,3.3d Matr├¡cula EC Nivel secundario.twb,DATOS_ADMIN_SM,federated.0qiz8oi1sb3cd813zi06q01yhyh5,[INDICADOR_NOMBRE (Indicadores)],INDICADOR_NOMBRE,string,dimension,nominal,,,,,,
3_3dMatrculaECNivelSecundario,DHBEvolucinTemporal,3.3d Matr├¡cula EC Nivel secundario.twb,DATOS_ADMIN_SM,federated.0qiz8oi1sb3cd813zi06q01yhyh5,[INDICADOR_NOMBRE],DATO_INDICADOR_NOMBRE,string,dimension,nominal,,,true,,,
3_3dMatrculaECNivelSecundario,DHBEvolucinTemporal,3.3d Matr├¡cula EC Nivel secundario.twb,DATOS_ADMIN_SM,federated.0qiz8oi1sb3cd813zi06q01yhyh5,[INDICADOR_ORDEN],,integer,dimension,ordinal,,,,,,
3_3dMatrculaECNivelSecundario,DHBEvolucinTemporal,3.3d Matr├¡cula EC Nivel secundario.twb,DATOS_ADMIN_SM,federated.0qiz8oi1sb3cd813zi06q01yhyh5,[MES],DATO_MES,string,dimension,nominal,,,,,,
3_3dMatrculaECNivelSecundario,DHBEvolucinTemporal,3.3d Matr├¡cula EC Nivel secundario.twb,DATOS_ADMIN_SM,federated.0qiz8oi1sb3cd813zi06q01yhyh5,[MODALIDAD_APERTURA_NIVEL_1],DATO_MODALIDAD_APERTURA_NIVEL_1,string,dimension,nominal,,,,,,
3_3dMatrculaECNivelSecundario,DHBEvolucinTemporal,3.3d Matr├¡cula EC Nivel secundario.twb,DATOS_ADMIN_SM,federated.0qiz8oi1sb3cd813zi06q01yhyh5,[MODALIDAD_APERTURA_NIVEL_2],DATO_MODALIDAD_APERTURA_NIVEL_2,string,dimension,nominal,,,,,,
3_3dMatrculaECNivelSecundario,DHBEvolucinTemporal,3.3d Matr├¡cula EC Nivel secundario.twb,DATOS_ADMIN_SM,federated.0qiz8oi1sb3cd813zi06q01yhyh5,[Region],UNIDAD_GEOGRAFICA_REGION,string,dimension,nominal,,,,,categorical-bin,
3_3dMatrculaECNivelSecundario,DHBEvolucinTemporal,3.3d Matr├¡cula EC Nivel secundario.twb,DATOS_ADMIN_SM,federated.0qiz8oi1sb3cd813zi06q01yhyh5,[SECCION_ID],DATO_SECCION_ID,integer,dimension,ordinal,,,,,,
3_3dMatrculaECNivelSecundario,DHBEvolucinTemporal,3.3d Matr├¡cula EC Nivel secundario.twb,DATOS_ADMIN_SM,federated.0qiz8oi1sb3cd813zi06q01yhyh5,[SECCION_NOMBRE],DATO_SECCION_NOMBRE,string,dimension,nominal,,,,,,
3_3dMatrculaECNivelSecundario,DHBEvolucinTemporal,3.3d Matr├¡cula EC Nivel secundario.twb,DATOS_ADMIN_SM,federated.0qiz8oi1sb3cd813zi06q01yhyh5,[SUB_UNIDAD_GEOGRAFICA],DATO_SUBUNIDAD_GEOGRAFICA,string,dimension,nominal,,,,,,
3_3dMatrculaECNivelSecundario,DHBEvolucinTemporal,3.3d Matr├¡cula EC Nivel secundario.twb,DATOS_ADMIN_SM,federated.0qiz8oi1sb3cd813zi06q01yhyh5,[TABLERO_CONFIGURACION_ID],,integer,dimension,ordinal,,,,,,
3_3dMatrculaECNivelSecundario,DHBEvolucinTemporal,3.3d Matr├¡cula EC Nivel secundario.twb,DATOS_ADMIN_SM,federated.0qiz8oi1sb3cd813zi06q01yhyh5,[TABLERO_FECHA_ULT_CARGA_DATOS],,datetime,dimension,ordinal,,,,,,
3_3dMatrculaECNivelSecundario,DHBEvolucinTemporal,3.3d Matr├¡cula EC Nivel secundario.twb,DATOS_ADMIN_SM,federated.0qiz8oi1sb3cd813zi06q01yhyh5,[TABLERO_ID (Tableros)],TABLERO_ID,integer,dimension,ordinal,,,,,,
3_3dMatrculaECNivelSecundario,DHBEvolucinTemporal,3.3d Matr├¡cula EC Nivel secundario.twb,DATOS_ADMIN_SM,federated.0qiz8oi1sb3cd813zi06q01yhyh5,[TABLERO_ID],DATO_TABLERO_ID,integer,dimension,ordinal,,,,,,
3_3dMatrculaECNivelSecundario,DHBEvolucinTemporal,3.3d Matr├¡cula EC Nivel secundario.twb,DATOS_ADMIN_SM,federated.0qiz8oi1sb3cd813zi06q01yhyh5,[TABLERO_NOMBRE (Tableros)],TABLERO_NOMBRE,string,dimension,nominal,,,,,,
3_3dMatrculaECNivelSecundario,DHBEvolucinTemporal,3.3d Matr├¡cula EC Nivel secundario.twb,DATOS_ADMIN_SM,federated.0qiz8oi1sb3cd813zi06q01yhyh5,[TABLERO_NOMBRE],DATO_TABLERO_NOMBRE,string,dimension,nominal,,,true,,,
3_3dMatrculaECNivelSecundario,DHBEvolucinTemporal,3.3d Matr├¡cula EC Nivel secundario.twb,DATOS_ADMIN_SM,federated.0qiz8oi1sb3cd813zi06q01yhyh5,[TEMA_DE_SISTEMA],TEMA_DE_SISTEMA (T_TEMA),string,dimension,nominal,,,,,,
3_3dMatrculaECNivelSecundario,DHBEvolucinTemporal,3.3d Matr├¡cula EC Nivel secundario.twb,DATOS_ADMIN_SM,federated.0qiz8oi1sb3cd813zi06q01yhyh5,[TEMA_ID (Temas)],TEMA_ID,integer,dimension,ordinal,,,,,,
3_3dMatrculaECNivelSecundario,DHBEvolucinTemporal,3.3d Matr├¡cula EC Nivel secundario.twb,DATOS_ADMIN_SM,federated.0qiz8oi1sb3cd813zi06q01yhyh5,[TEMA_ID],DATO_TEMA_ID,integer,dimension,ordinal,,,,,,
3_3dMatrculaECNivelSecundario,DHBEvolucinTemporal,3.3d Matr├¡cula EC Nivel secundario.twb,DATOS_ADMIN_SM,federated.0qiz8oi1sb3cd813zi06q01yhyh5,[TEMA_NOMBRE (Temas)],TEMA_NOMBRE,string,dimension,nominal,,,,,,
3_3dMatrculaECNivelSecundario,DHBEvolucinTemporal,3.3d Matr├¡cula EC Nivel secundario.twb,DATOS_ADMIN_SM,federated.0qiz8oi1sb3cd813zi06q01yhyh5,[TEMA_NOMBRE],DATO_TEMA_NOMBRE,string,dimension,nominal,,,,,,
3_3dMatrculaECNivelSecundario,DHBEvolucinTemporal,3.3d Matr├¡cula EC Nivel secundario.twb,DATOS_ADMIN_SM,federated.0qiz8oi1sb3cd813zi06q01yhyh5,[TIPO_DATO_SM_STR (copia)_5425289489129852943],DATO_TIPO_ORDEN,integer,dimension,ordinal,,,,,tableau,"IF ([TIPO_DE_DATO] == 'SERIE_TEMPORAL') THEN 1
ELSEIF ([TIPO_DE_DATO] == 'DISTRIBUCION') THEN 2
ELSEIF ([TIPO_DE_DATO] == 'APERTURA') THEN 3
ELSEIF ([TIPO_DE_DATO] == 'MAPA') THEN 4
END"
3_3dMatrculaECNivelSecundario,DHBEvolucinTemporal,3.3d Matr├¡cula EC Nivel secundario.twb,DATOS_ADMIN_SM,federated.0qiz8oi1sb3cd813zi06q01yhyh5,[TIPO_DE_DATO],DATO_TIPO,string,dimension,nominal,,,,,,
3_3dMatrculaECNivelSecundario,DHBEvolucinTemporal,3.3d Matr├¡cula EC Nivel secundario.twb,DATOS_ADMIN_SM,federated.0qiz8oi1sb3cd813zi06q01yhyh5,[UNIDAD_GEOGRAFICA_CODIGO],DATO_UNIDAD_GEOGRAFICA_CODIGO,string,dimension,nominal,,,,,,
3_3dMatrculaECNivelSecundario,DHBEvolucinTemporal,3.3d Matr├¡cula EC Nivel secundario.twb,DATOS_ADMIN_SM,federated.0qiz8oi1sb3cd813zi06q01yhyh5,[UNIDAD_GEOGRAFICA_NOMBRE],DATO_UNIDAD_GEOGRAFICA_NOMBRE,string,dimension,nominal,,,,,,
3_3dMatrculaECNivelSecundario,DHBEvolucinTemporal,3.3d Matr├¡cula EC Nivel secundario.twb,DATOS_ADMIN_SM,federated.0qiz8oi1sb3cd813zi06q01yhyh5,[URL_DOC_METODOLOGICO (copy)_334673809461317641],URL_INSTRUCTIVO_NAV,string,dimension,nominal,,,,,tableau,[CONFIG_URL_ADMIN_SM] + [CONFIGURACION_URL_INSTRUCTIVO_NAV]
3_3dMatrculaECNivelSecundario,DHBEvolucinTemporal,3.3d Matr├¡cula EC Nivel secundario.twb,DATOS_ADMIN_SM,federated.0qiz8oi1sb3cd813zi06q01yhyh5,[URL_DOC_TECNICO_TABLERO (copy)_334673809529749519],TABLERO_URL_REPORTE,string,dimension,nominal,,,,,tableau,[CONFIG_URL_ADMIN_SM] + [CONFIGURACION_URL_REPORTE_TABLERO] + STR([TABLERO_ID (Tableros)])
3_3dMatrculaECNivelSecundario,DHBEvolucinTemporal,3.3d Matr├¡cula EC Nivel secundario.twb,DATOS_ADMIN_SM,federated.0qiz8oi1sb3cd813zi06q01yhyh5,[URL_FICHA _TABLERO (copy)_334673809529606158],TABLERO_URL_DOC_TECNICO,string,dimension,nominal,,,,,tableau,[CONFIG_URL_ADMIN_SM] + [CONFIGURACION_URL_DOC_TECNICO_TABLERO] + STR([TABLERO_ID (Tableros)])
3_3dMatrculaECNivelSecundario,DHBEvolucinTemporal,3.3d Matr├¡cula EC Nivel secundario.twb,DATOS_ADMIN_SM,federated.0qiz8oi1sb3cd813zi06q01yhyh5,[VALOR],DATO_VALOR,real,dimension,ordinal,,,,,,
3_3dMatrculaECNivelSecundario,DHBEvolucinTemporal,3.3d Matr├¡cula EC Nivel secundario.twb,DATOS_ADMIN_SM,federated.0qiz8oi1sb3cd813zi06q01yhyh5,[VALOR_AUXILIAR],DATO_VALOR_AUXILIAR,real,dimension,ordinal,,,,,,
3_3dMatrculaECNivelSecundario,DHBEvolucinTemporal,3.3d Matr├¡cula EC Nivel secundario.twb,DATOS_ADMIN_SM,federated.0qiz8oi1sb3cd813zi06q01yhyh5,[Valor cantidad (Mapa) (copia)_6236992911694086162],DATO_SUM_VALOR_AUXILIAR (MAPA),real,measure,quantitative,,,,,tableau,SUM([VALOR_AUXILIAR])
3_3dMatrculaECNivelSecundario,DHBEvolucinTemporal,3.3d Matr├¡cula EC Nivel secundario.twb,DATOS_ADMIN_SM,federated.0qiz8oi1sb3cd813zi06q01yhyh5,[Valor mapa calculado (copia)_6236992911641026571],VALOR_PORCENTUAL (T_MAPA),real,measure,quantitative,,,,,tableau,[Valor porcentual (copia)_6236992911648841741] * 100 / [Valor cantidad (Mapa) (copia)_6236992911694086162]
